Local time,Open,High,Low,Close,Volume
16.11.1992 19:00:00.000 GMT-0500,0.87570,0.87570,0.87570,0.87570,0
17.11.1992 19:00:00.000 GMT-0500,0.87570,0.87950,0.87280,0.87770,1822.5106
18.11.1992 19:00:00.000 GMT-0500,0.87740,0.87740,0.86730,0.87010,1334.7965
19.11.1992 19:00:00.000 GMT-0500,0.87300,0.88150,0.86840,0.87940,2926.2847
20.11.1992 19:00:00.000 GMT-0500,0.87940,0.87940,0.87940,0.87940,0
21.11.1992 19:00:00.000 GMT-0500,0.87940,0.87940,0.87940,0.87940,0
22.11.1992 19:00:00.000 GMT-0500,0.88060,0.88340,0.87660,0.87850,1540.1498
23.11.1992 19:00:00.000 GMT-0500,0.88230,0.88820,0.88050,0.88280,847.0824
24.11.1992 19:00:00.000 GMT-0500,0.88300,0.89110,0.88100,0.88640,1437.4731
25.11.1992 19:00:00.000 GMT-0500,0.88480,0.88650,0.87940,0.88050,1591.4882
26.11.1992 19:00:00.000 GMT-0500,0.88080,0.88700,0.88000,0.88700,2438.5706
27.11.1992 19:00:00.000 GMT-0500,0.88700,0.88700,0.88700,0.88700,0
28.11.1992 19:00:00.000 GMT-0500,0.88700,0.88700,0.88700,0.88700,0
29.11.1992 19:00:00.000 GMT-0500,0.88650,0.88650,0.87610,0.87780,1976.5256
30.11.1992 19:00:00.000 GMT-0500,0.87530,0.88310,0.87490,0.87720,1155.1123
01.12.1992 19:00:00.000 GMT-0500,0.87790,0.87880,0.87430,0.87790,1026.7666
02.12.1992 19:00:00.000 GMT-0500,0.87960,0.88820,0.87480,0.88640,3388.3296
03.12.1992 19:00:00.000 GMT-0500,0.88610,0.88680,0.88320,0.88620,1694.1648
04.12.1992 19:00:00.000 GMT-0500,0.88620,0.88620,0.88620,0.88620,0
05.12.1992 19:00:00.000 GMT-0500,0.88620,0.88620,0.88620,0.88620,0
06.12.1992 19:00:00.000 GMT-0500,0.88470,0.88590,0.88180,0.88240,2361.563
07.12.1992 19:00:00.000 GMT-0500,0.88210,0.88460,0.87850,0.88130,1129.4432
08.12.1992 19:00:00.000 GMT-0500,0.88120,0.88620,0.88120,0.88330,2284.5557
09.12.1992 19:00:00.000 GMT-0500,0.88220,0.88280,0.87540,0.87740,1463.1423
10.12.1992 19:00:00.000 GMT-0500,0.87800,0.88130,0.87790,0.88040,2387.2322
11.12.1992 19:00:00.000 GMT-0500,0.88040,0.88040,0.88040,0.88040,0
12.12.1992 19:00:00.000 GMT-0500,0.88040,0.88040,0.88040,0.88040,0
13.12.1992 19:00:00.000 GMT-0500,0.87930,0.87930,0.87350,0.87690,1155.1123
14.12.1992 19:00:00.000 GMT-0500,0.87640,0.88190,0.87410,0.88190,1155.1123
15.12.1992 19:00:00.000 GMT-0500,0.88110,0.88280,0.87890,0.88080,2489.9089
16.12.1992 19:00:00.000 GMT-0500,0.88150,0.88280,0.87790,0.87870,1257.7891
17.12.1992 19:00:00.000 GMT-0500,0.88020,0.88280,0.87940,0.88230,3080.2996
18.12.1992 19:00:00.000 GMT-0500,0.88230,0.88230,0.88230,0.88230,0
19.12.1992 19:00:00.000 GMT-0500,0.88230,0.88230,0.88230,0.88230,0
20.12.1992 19:00:00.000 GMT-0500,0.88160,0.88410,0.87690,0.87890,3259.9839
21.12.1992 19:00:00.000 GMT-0500,0.87640,0.87720,0.86930,0.87160,2053.5332
22.12.1992 19:00:00.000 GMT-0500,0.87050,0.87230,0.86780,0.87010,2258.8865
23.12.1992 19:00:00.000 GMT-0500,0.86870,0.87260,0.86790,0.87220,2361.563
24.12.1992 19:00:00.000 GMT-0500,0.87220,0.87220,0.87220,0.87220,0
25.12.1992 19:00:00.000 GMT-0500,0.87220,0.87220,0.87220,0.87220,0
26.12.1992 19:00:00.000 GMT-0500,0.87220,0.87220,0.87220,0.87220,0
27.12.1992 19:00:00.000 GMT-0500,0.87210,0.87210,0.86840,0.86960,2823.6079
28.12.1992 19:00:00.000 GMT-0500,0.86950,0.87590,0.86840,0.87260,2489.9089
29.12.1992 19:00:00.000 GMT-0500,0.87200,0.87580,0.87160,0.87360,2926.2847
30.12.1992 19:00:00.000 GMT-0500,0.87370,0.87670,0.87190,0.87600,1642.8264
31.12.1992 19:00:00.000 GMT-0500,0.87600,0.87600,0.87600,0.87600,0
01.01.1993 19:00:00.000 GMT-0500,0.87600,0.87600,0.87600,0.87600,0
02.01.1993 19:00:00.000 GMT-0500,0.87600,0.87600,0.87600,0.87600,0
03.01.1993 19:00:00.000 GMT-0500,0.87330,0.87530,0.87090,0.87280,1822.5106
04.01.1993 19:00:00.000 GMT-0500,0.87100,0.87250,0.85750,0.86110,1899.5181
05.01.1993 19:00:00.000 GMT-0500,0.86050,0.86170,0.85120,0.85770,1976.5256
06.01.1993 19:00:00.000 GMT-0500,0.85780,0.85940,0.85610,0.85680,2926.2847
07.01.1993 19:00:00.000 GMT-0500,0.85930,0.86390,0.85890,0.86180,1129.4432
08.01.1993 19:00:00.000 GMT-0500,0.86180,0.86180,0.86180,0.86180,0
09.01.1993 19:00:00.000 GMT-0500,0.86180,0.86180,0.86180,0.86180,0
10.01.1993 19:00:00.000 GMT-0500,0.85810,0.86090,0.85580,0.86030,2361.563
11.01.1993 19:00:00.000 GMT-0500,0.86060,0.86290,0.85860,0.85980,3131.6379
12.01.1993 19:00:00.000 GMT-0500,0.86140,0.86380,0.85600,0.85600,924.0899
13.01.1993 19:00:00.000 GMT-0500,0.85610,0.86000,0.85490,0.85770,3234.3147
14.01.1993 19:00:00.000 GMT-0500,0.85850,0.86510,0.85850,0.86310,2900.6155
15.01.1993 19:00:00.000 GMT-0500,0.86310,0.86310,0.86310,0.86310,0
16.01.1993 19:00:00.000 GMT-0500,0.86310,0.86310,0.86310,0.86310,0
17.01.1993 19:00:00.000 GMT-0500,0.86500,0.86810,0.86190,0.86210,1360.4657
18.01.1993 19:00:00.000 GMT-0500,0.86370,0.86420,0.85680,0.85840,3259.9839
19.01.1993 19:00:00.000 GMT-0500,0.85770,0.85970,0.85580,0.85690,1360.4657
20.01.1993 19:00:00.000 GMT-0500,0.85870,0.85930,0.85010,0.85930,2926.2847
21.01.1993 19:00:00.000 GMT-0500,0.86000,0.86750,0.86000,0.86100,1488.8115
22.01.1993 19:00:00.000 GMT-0500,0.86100,0.86100,0.86100,0.86100,0
23.01.1993 19:00:00.000 GMT-0500,0.86100,0.86100,0.86100,0.86100,0
24.01.1993 19:00:00.000 GMT-0500,0.85860,0.86050,0.85640,0.85970,2464.2397
25.01.1993 19:00:00.000 GMT-0500,0.85910,0.86000,0.85430,0.85960,1642.8264
26.01.1993 19:00:00.000 GMT-0500,0.85910,0.86090,0.85450,0.85570,3054.6304
27.01.1993 19:00:00.000 GMT-0500,0.85480,0.86620,0.85390,0.86390,1232.1199
28.01.1993 19:00:00.000 GMT-0500,0.86500,0.86530,0.86010,0.86150,1206.4507
29.01.1993 19:00:00.000 GMT-0500,0.86150,0.86150,0.86150,0.86150,0
30.01.1993 19:00:00.000 GMT-0500,0.86150,0.86150,0.86150,0.86150,0
31.01.1993 19:00:00.000 GMT-0500,0.85980,0.85990,0.85150,0.85150,2464.2397
01.02.1993 19:00:00.000 GMT-0500,0.85260,0.86030,0.85120,0.85860,2592.5854
02.02.1993 19:00:00.000 GMT-0500,0.85870,0.86280,0.85380,0.85920,3234.3147
03.02.1993 19:00:00.000 GMT-0500,0.86030,0.86120,0.85530,0.85840,2951.9539
04.02.1993 19:00:00.000 GMT-0500,0.85940,0.86060,0.84770,0.85130,1925.1873
05.02.1993 19:00:00.000 GMT-0500,0.85130,0.85130,0.85130,0.85130,0
06.02.1993 19:00:00.000 GMT-0500,0.85130,0.85130,0.85130,0.85130,0
07.02.1993 19:00:00.000 GMT-0500,0.84860,0.84970,0.84540,0.84630,1514.4806
08.02.1993 19:00:00.000 GMT-0500,0.84670,0.85030,0.84510,0.84810,1617.1573
09.02.1993 19:00:00.000 GMT-0500,0.84990,0.85230,0.84690,0.85060,2618.2546
