Local time,Open,High,Low,Close,Volume
20.11.1991 19:00:00.000 GMT-0500,1.12520,1.12520,1.12520,1.12520,0
21.11.1991 19:00:00.000 GMT-0500,1.12520,1.12520,1.11070,1.11460,4681.7681
22.11.1991 19:00:00.000 GMT-0500,1.11460,1.11460,1.11460,1.11460,0
23.11.1991 19:00:00.000 GMT-0500,1.11460,1.11460,1.11460,1.11460,0
24.11.1991 19:00:00.000 GMT-0500,1.11550,1.12020,1.11170,1.11790,2466.2886
25.11.1991 19:00:00.000 GMT-0500,1.11940,1.13090,1.10380,1.12150,3176.9141
26.11.1991 19:00:00.000 GMT-0500,1.12010,1.12620,1.11880,1.12320,4221.9517
27.11.1991 19:00:00.000 GMT-0500,1.12160,1.12500,1.11620,1.12000,2675.2959
28.11.1991 19:00:00.000 GMT-0500,1.12030,1.13190,1.12030,1.12460,3176.9141
29.11.1991 19:00:00.000 GMT-0500,1.12460,1.12460,1.12460,1.12460,0
30.11.1991 19:00:00.000 GMT-0500,1.12460,1.12460,1.12460,1.12460,0
01.12.1991 19:00:00.000 GMT-0500,1.11760,1.12000,1.11320,1.11530,1504.854
02.12.1991 19:00:00.000 GMT-0500,1.11570,1.12370,1.11530,1.11690,4389.1577
03.12.1991 19:00:00.000 GMT-0500,1.11830,1.12390,1.10960,1.11010,5183.3862
04.12.1991 19:00:00.000 GMT-0500,1.11000,1.11000,1.09290,1.09310,3720.3335
05.12.1991 19:00:00.000 GMT-0500,1.09350,1.09620,1.07900,1.09190,4639.9663
06.12.1991 19:00:00.000 GMT-0500,1.09190,1.09190,1.09190,1.09190,0
07.12.1991 19:00:00.000 GMT-0500,1.09190,1.09190,1.09190,1.09190,0
08.12.1991 19:00:00.000 GMT-0500,1.07720,1.08100,1.07160,1.07490,3929.3411
09.12.1991 19:00:00.000 GMT-0500,1.07150,1.08490,1.06800,1.07820,4514.562
10.12.1991 19:00:00.000 GMT-0500,1.07790,1.09140,1.07110,1.07520,3929.3411
11.12.1991 19:00:00.000 GMT-0500,1.07580,1.08100,1.07100,1.07930,5225.1875
12.12.1991 19:00:00.000 GMT-0500,1.07870,1.08260,1.07350,1.07670,2926.105
13.12.1991 19:00:00.000 GMT-0500,1.07670,1.07670,1.07670,1.07670,0
14.12.1991 19:00:00.000 GMT-0500,1.07670,1.07670,1.07670,1.07670,0
15.12.1991 19:00:00.000 GMT-0500,1.08170,1.08370,1.07800,1.07830,3636.7305
16.12.1991 19:00:00.000 GMT-0500,1.07870,1.08090,1.07210,1.07430,2549.8916
17.12.1991 19:00:00.000 GMT-0500,1.07650,1.07880,1.07280,1.07710,4807.1724
18.12.1991 19:00:00.000 GMT-0500,1.07630,1.08310,1.06700,1.06700,5434.1948
19.12.1991 19:00:00.000 GMT-0500,1.06710,1.06810,1.04390,1.04640,2340.884
20.12.1991 19:00:00.000 GMT-0500,1.04640,1.04640,1.04640,1.04640,0
21.12.1991 19:00:00.000 GMT-0500,1.04640,1.04640,1.04640,1.04640,0
22.12.1991 19:00:00.000 GMT-0500,1.04200,1.04200,1.01860,1.02490,2800.7004
23.12.1991 19:00:00.000 GMT-0500,1.02640,1.03170,1.02490,1.02720,1463.0525
24.12.1991 19:00:00.000 GMT-0500,1.02720,1.02720,1.02720,1.02720,0
25.12.1991 19:00:00.000 GMT-0500,1.02250,1.02740,1.02160,1.02210,4430.959
26.12.1991 19:00:00.000 GMT-0500,1.02210,1.03060,1.01690,1.02940,3469.5244
27.12.1991 19:00:00.000 GMT-0500,1.02940,1.02940,1.02940,1.02940,0
28.12.1991 19:00:00.000 GMT-0500,1.02940,1.02940,1.02940,1.02940,0
29.12.1991 19:00:00.000 GMT-0500,1.03320,1.03320,1.02410,1.03130,4556.3633
30.12.1991 19:00:00.000 GMT-0500,1.03130,1.03130,1.03130,1.03130,0
31.12.1991 19:00:00.000 GMT-0500,1.03130,1.03130,1.03130,1.03130,0
01.01.1992 19:00:00.000 GMT-0500,1.03180,1.03620,1.02950,1.02950,4514.562
02.01.1992 19:00:00.000 GMT-0500,1.03100,1.04410,1.03100,1.03960,1713.8615
03.01.1992 19:00:00.000 GMT-0500,1.03960,1.03960,1.03960,1.03960,0
04.01.1992 19:00:00.000 GMT-0500,1.03960,1.03960,1.03960,1.03960,0
05.01.1992 19:00:00.000 GMT-0500,1.04400,1.04400,1.02400,1.02620,2048.2734
06.01.1992 19:00:00.000 GMT-0500,1.02580,1.02770,1.01150,1.01240,1839.266
07.01.1992 19:00:00.000 GMT-0500,1.01280,1.02460,1.01020,1.01770,2048.2734
08.01.1992 19:00:00.000 GMT-0500,1.01830,1.04550,1.01020,1.03390,3427.7229
09.01.1992 19:00:00.000 GMT-0500,1.03420,1.04420,1.01930,1.03890,5434.1948
10.01.1992 19:00:00.000 GMT-0500,1.03890,1.03890,1.03890,1.03890,0
11.01.1992 19:00:00.000 GMT-0500,1.03890,1.03890,1.03890,1.03890,0
12.01.1992 19:00:00.000 GMT-0500,1.04080,1.04510,1.03590,1.04330,4723.5693
13.01.1992 19:00:00.000 GMT-0500,1.04350,1.05560,1.03480,1.04840,4848.9741
14.01.1992 19:00:00.000 GMT-0500,1.04870,1.07840,1.04410,1.07490,4472.7607
15.01.1992 19:00:00.000 GMT-0500,1.07320,1.07550,1.06150,1.06150,2382.6855
16.01.1992 19:00:00.000 GMT-0500,1.06120,1.07590,1.04210,1.05470,3385.9214
17.01.1992 19:00:00.000 GMT-0500,1.05470,1.05470,1.05470,1.05470,0
18.01.1992 19:00:00.000 GMT-0500,1.05470,1.05470,1.05470,1.05470,0
19.01.1992 19:00:00.000 GMT-0500,1.03700,1.06520,1.03690,1.05690,4556.3633
20.01.1992 19:00:00.000 GMT-0500,1.05380,1.06160,1.04880,1.05740,2299.0825
21.01.1992 19:00:00.000 GMT-0500,1.05670,1.06450,1.05360,1.06150,2967.9065
22.01.1992 19:00:00.000 GMT-0500,1.06170,1.06710,1.05170,1.06380,4681.7681
23.01.1992 19:00:00.000 GMT-0500,1.06330,1.06410,1.03810,1.04860,5099.7832
24.01.1992 19:00:00.000 GMT-0500,1.04860,1.04860,1.04860,1.04860,0
25.01.1992 19:00:00.000 GMT-0500,1.04860,1.04860,1.04860,1.04860,0
26.01.1992 19:00:00.000 GMT-0500,1.04710,1.06270,1.04710,1.06140,4138.3486
27.01.1992 19:00:00.000 GMT-0500,1.06210,1.07140,1.05650,1.06190,2090.075
28.01.1992 19:00:00.000 GMT-0500,1.06120,1.06870,1.04730,1.06350,3720.3335
29.01.1992 19:00:00.000 GMT-0500,1.06290,1.07710,1.05760,1.07510,2215.4795
30.01.1992 19:00:00.000 GMT-0500,1.07620,1.08040,1.07070,1.07570,3051.5095
31.01.1992 19:00:00.000 GMT-0500,1.07570,1.07570,1.07570,1.07570,0
01.02.1992 19:00:00.000 GMT-0500,1.07570,1.07570,1.07570,1.07570,0
02.02.1992 19:00:00.000 GMT-0500,1.07430,1.07810,1.06870,1.06870,5057.9814
03.02.1992 19:00:00.000 GMT-0500,1.06880,1.07530,1.06120,1.06510,3929.3411
04.02.1992 19:00:00.000 GMT-0500,1.06560,1.06740,1.04920,1.04940,5183.3862
05.02.1992 19:00:00.000 GMT-0500,1.05050,1.05680,1.04300,1.05410,5225.1875
06.02.1992 19:00:00.000 GMT-0500,1.05260,1.05580,1.04350,1.04830,4723.5693
07.02.1992 19:00:00.000 GMT-0500,1.04830,1.04830,1.04830,1.04830,0
08.02.1992 19:00:00.000 GMT-0500,1.04830,1.04830,1.04830,1.04830,0
09.02.1992 19:00:00.000 GMT-0500,1.04710,1.05490,1.04390,1.05400,5434.1948
10.02.1992 19:00:00.000 GMT-0500,1.05350,1.07460,1.05200,1.07380,4932.5771
11.02.1992 19:00:00.000 GMT-0500,1.07090,1.08410,1.06780,1.08060,3051.5095
12.02.1992 19:00:00.000 GMT-0500,1.08010,1.10390,1.07890,1.10330,2926.105
13.02.1992 19:00:00.000 GMT-0500,1.10290,1.11110,1.09700,1.10790,2926.105
14.02.1992 19:00:00.000 GMT-0500,1.10790,1.10790,1.10790,1.10790,0
15.02.1992 19:00:00.000 GMT-0500,1.10790,1.10790,1.10790,1.10790,0
16.02.1992 19:00:00.000 GMT-0500,1.10310,1.10730,1.09450,1.10640,3511.3259
17.02.1992 19:00:00.000 GMT-0500,1.10670,1.12520,1.10440,1.12130,4723.5693
18.02.1992 19:00:00.000 GMT-0500,1.12130,1.12870,1.11950,1.12540,5016.1802
19.02.1992 19:00:00.000 GMT-0500,1.12450,1.13350,1.12070,1.12110,2842.502
20.02.1992 19:00:00.000 GMT-0500,1.12030,1.13020,1.11840,1.12960,3051.5095
21.02.1992 19:00:00.000 GMT-0500,1.12960,1.12960,1.12960,1.12960,0
22.02.1992 19:00:00.000 GMT-0500,1.12960,1.12960,1.12960,1.12960,0
23.02.1992 19:00:00.000 GMT-0500,1.12770,1.13270,1.11760,1.12150,4347.356
24.02.1992 19:00:00.000 GMT-0500,1.12100,1.13180,1.11210,1.13180,2717.0974
25.02.1992 19:00:00.000 GMT-0500,1.13150,1.13420,1.11860,1.12470,5141.5845
26.02.1992 19:00:00.000 GMT-0500,1.12440,1.12610,1.11470,1.11650,3803.9365
27.02.1992 19:00:00.000 GMT-0500,1.11590,1.12540,1.11370,1.11750,2466.2886
28.02.1992 19:00:00.000 GMT-0500,1.11750,1.11750,1.11750,1.11750,0
29.02.1992 19:00:00.000 GMT-0500,1.11750,1.11750,1.11750,1.11750,0
01.03.1992 19:00:00.000 GMT-0500,1.12440,1.12780,1.11750,1.12210,5308.7905
02.03.1992 19:00:00.000 GMT-0500,1.12210,1.13500,1.12160,1.13500,2131.8765
03.03.1992 19:00:00.000 GMT-0500,1.13620,1.15100,1.13400,1.14850,3009.708
04.03.1992 19:00:00.000 GMT-0500,1.14820,1.15490,1.14670,1.15130,4681.7681
05.03.1992 19:00:00.000 GMT-0500,1.15110,1.15920,1.14110,1.14360,3678.532
06.03.1992 19:00:00.000 GMT-0500,1.14360,1.14360,1.14360,1.14360,0
07.03.1992 19:00:00.000 GMT-0500,1.14360,1.14360,1.14360,1.14360,0
08.03.1992 19:00:00.000 GMT-0500,1.14170,1.14430,1.13510,1.13960,5517.7979
09.03.1992 19:00:00.000 GMT-0500,1.13850,1.15070,1.13420,1.14920,2842.502
10.03.1992 19:00:00.000 GMT-0500,1.14930,1.15150,1.13610,1.13710,3636.7305
11.03.1992 19:00:00.000 GMT-0500,1.13640,1.14830,1.13580,1.13820,3929.3411
12.03.1992 19:00:00.000 GMT-0500,1.13970,1.14400,1.13620,1.13740,1797.4645
13.03.1992 19:00:00.000 GMT-0500,1.13740,1.13740,1.13740,1.13740,0
14.03.1992 19:00:00.000 GMT-0500,1.13740,1.13740,1.13740,1.13740,0
15.03.1992 19:00:00.000 GMT-0500,1.14280,1.14280,1.13670,1.13710,4932.5771
16.03.1992 19:00:00.000 GMT-0500,1.13770,1.13930,1.12630,1.13120,3678.532
17.03.1992 19:00:00.000 GMT-0500,1.13100,1.14060,1.13040,1.13940,4430.959
18.03.1992 19:00:00.000 GMT-0500,1.13920,1.15340,1.13760,1.15340,1546.6555
19.03.1992 19:00:00.000 GMT-0500,1.15020,1.16510,1.15000,1.15230,3636.7305
20.03.1992 19:00:00.000 GMT-0500,1.15230,1.15230,1.15230,1.15230,0
21.03.1992 19:00:00.000 GMT-0500,1.15230,1.15230,1.15230,1.15230,0
