Local time,Open,High,Low,Close,Volume
02.02.1991 19:00:00.000 GMT-0500,102.430,102.430,102.430,102.430,0
03.02.1991 19:00:00.000 GMT-0500,102.430,102.430,102.150,102.230,506449.4063
04.02.1991 19:00:00.000 GMT-0500,102.250,102.340,100.610,100.620,651918.9375
05.02.1991 19:00:00.000 GMT-0500,100.530,100.770,99.860,100.010,711184.3125
06.02.1991 19:00:00.000 GMT-0500,100.200,100.730,99.820,100.470,312490.0625
07.02.1991 19:00:00.000 GMT-0500,100.460,100.680,99.510,99.650,624980.125
08.02.1991 19:00:00.000 GMT-0500,99.650,99.650,99.650,99.650,0
09.02.1991 19:00:00.000 GMT-0500,99.650,99.650,99.650,99.650,0
10.02.1991 19:00:00.000 GMT-0500,99.720,100.060,99.130,99.630,199347.1094
11.02.1991 19:00:00.000 GMT-0500,99.590,100.800,99.470,100.800,565714.75
12.02.1991 19:00:00.000 GMT-0500,100.750,102.310,100.530,102.100,377143.1875
13.02.1991 19:00:00.000 GMT-0500,102.010,102.390,101.720,102.220,436408.5313
14.02.1991 19:00:00.000 GMT-0500,102.520,103.040,102.520,102.910,457959.5938
15.02.1991 19:00:00.000 GMT-0500,102.910,102.910,102.910,102.910,0
16.02.1991 19:00:00.000 GMT-0500,102.910,102.910,102.910,102.910,0
17.02.1991 19:00:00.000 GMT-0500,102.950,102.950,102.260,102.910,511837.1875
18.02.1991 19:00:00.000 GMT-0500,102.680,103.780,102.650,103.400,673470
19.02.1991 19:00:00.000 GMT-0500,103.670,103.910,103.460,103.490,689633.25
20.02.1991 19:00:00.000 GMT-0500,103.440,103.790,103.150,103.520,538776
21.02.1991 19:00:00.000 GMT-0500,103.620,103.930,102.730,103.670,290939.0313
22.02.1991 19:00:00.000 GMT-0500,103.670,103.670,103.670,103.670,0
23.02.1991 19:00:00.000 GMT-0500,103.670,103.670,103.670,103.670,0
24.02.1991 19:00:00.000 GMT-0500,103.800,104.640,103.390,104.550,404081.9688
25.02.1991 19:00:00.000 GMT-0500,103.780,104.880,103.650,104.290,624980.125
26.02.1991 19:00:00.000 GMT-0500,104.160,104.450,102.920,103.820,387918.6875
27.02.1991 19:00:00.000 GMT-0500,103.740,104.700,103.380,104.370,447184.0625
28.02.1991 19:00:00.000 GMT-0500,104.930,105.880,104.810,105.790,334041.0938
01.03.1991 19:00:00.000 GMT-0500,105.790,105.790,105.790,105.790,0
02.03.1991 19:00:00.000 GMT-0500,105.790,105.790,105.790,105.790,0
03.03.1991 19:00:00.000 GMT-0500,105.600,105.990,104.900,105.400,560327
04.03.1991 19:00:00.000 GMT-0500,105.050,105.320,104.060,105.170,506449.4063
05.03.1991 19:00:00.000 GMT-0500,105.160,105.400,104.470,104.510,668082.1875
06.03.1991 19:00:00.000 GMT-0500,104.780,104.950,103.810,103.820,334041.0938
07.03.1991 19:00:00.000 GMT-0500,103.780,105.150,103.780,105.130,285551.2813
08.03.1991 19:00:00.000 GMT-0500,105.130,105.130,105.130,105.130,0
09.03.1991 19:00:00.000 GMT-0500,105.130,105.130,105.130,105.130,0
10.03.1991 19:00:00.000 GMT-0500,105.290,106.390,105.200,106.120,441796.3125
11.03.1991 19:00:00.000 GMT-0500,105.850,105.990,104.220,104.260,312490.0625
12.03.1991 19:00:00.000 GMT-0500,104.260,104.930,103.930,104.070,581878.0625
13.03.1991 19:00:00.000 GMT-0500,104.070,104.930,103.800,104.520,484898.375
14.03.1991 19:00:00.000 GMT-0500,105.000,106.090,104.770,105.970,409469.75
15.03.1991 19:00:00.000 GMT-0500,105.970,105.970,105.970,105.970,0
16.03.1991 19:00:00.000 GMT-0500,105.970,105.970,105.970,105.970,0
17.03.1991 19:00:00.000 GMT-0500,106.070,106.520,105.880,106.220,490286.125
18.03.1991 19:00:00.000 GMT-0500,106.270,106.860,105.750,106.250,608816.875
19.03.1991 19:00:00.000 GMT-0500,106.670,107.350,106.050,106.340,382530.9375
20.03.1991 19:00:00.000 GMT-0500,106.650,106.850,105.490,105.530,533388.1875
21.03.1991 19:00:00.000 GMT-0500,105.660,106.640,105.500,106.370,220898.1563
22.03.1991 19:00:00.000 GMT-0500,106.370,106.370,106.370,106.370,0
23.03.1991 19:00:00.000 GMT-0500,106.370,106.370,106.370,106.370,0
24.03.1991 19:00:00.000 GMT-0500,106.380,107.170,106.210,107.130,495673.9063
25.03.1991 19:00:00.000 GMT-0500,107.310,107.750,106.360,107.340,549551.5
26.03.1991 19:00:00.000 GMT-0500,107.510,108.060,106.900,108.060,646531.1875
27.03.1991 19:00:00.000 GMT-0500,108.170,109.700,107.940,109.370,635755.625
28.03.1991 19:00:00.000 GMT-0500,109.440,109.620,108.400,108.400,301714.5313
29.03.1991 19:00:00.000 GMT-0500,108.400,108.400,108.400,108.400,0
30.03.1991 19:00:00.000 GMT-0500,108.400,108.400,108.400,108.400,0
31.03.1991 19:00:00.000 GMT-0500,108.400,108.400,108.400,108.400,0
