Local time,Open,High,Low,Close,Volume
02.01.1993 19:00:00.000 GMT-0500,0.68690,0.68690,0.68690,0.68690,0
03.01.1993 19:00:00.000 GMT-0500,0.68690,0.68750,0.68010,0.68100,96962.2109
04.01.1993 19:00:00.000 GMT-0500,0.68050,0.68250,0.67170,0.67450,118826.2422
05.01.1993 19:00:00.000 GMT-0500,0.67370,0.67440,0.66700,0.67050,116925.0156
06.01.1993 19:00:00.000 GMT-0500,0.67050,0.67250,0.66830,0.66960,67493.3047
07.01.1993 19:00:00.000 GMT-0500,0.67100,0.67310,0.67000,0.67200,124529.8984
08.01.1993 19:00:00.000 GMT-0500,0.67200,0.67200,0.67200,0.67200,0
09.01.1993 19:00:00.000 GMT-0500,0.67200,0.67200,0.67200,0.67200,0
10.01.1993 19:00:00.000 GMT-0500,0.67130,0.67500,0.67080,0.67330,92209.1641
11.01.1993 19:00:00.000 GMT-0500,0.67390,0.67650,0.67180,0.67290,37073.7852
12.01.1993 19:00:00.000 GMT-0500,0.67390,0.67500,0.66870,0.66930,79851.2344
13.01.1993 19:00:00.000 GMT-0500,0.66980,0.67240,0.66780,0.67060,77950.0156
14.01.1993 19:00:00.000 GMT-0500,0.67030,0.67450,0.67020,0.67380,109320.1406
15.01.1993 19:00:00.000 GMT-0500,0.67380,0.67380,0.67380,0.67380,0
16.01.1993 19:00:00.000 GMT-0500,0.67380,0.67380,0.67380,0.67380,0
17.01.1993 19:00:00.000 GMT-0500,0.67480,0.67700,0.67260,0.67540,106468.3125
18.01.1993 19:00:00.000 GMT-0500,0.67640,0.67700,0.67030,0.67130,108369.5313
19.01.1993 19:00:00.000 GMT-0500,0.67110,0.67400,0.66880,0.66890,94110.3828
20.01.1993 19:00:00.000 GMT-0500,0.67000,0.67050,0.66320,0.66850,35172.5664
21.01.1993 19:00:00.000 GMT-0500,0.67090,0.67460,0.66820,0.67240,50382.3242
22.01.1993 19:00:00.000 GMT-0500,0.67240,0.67240,0.67240,0.67240,0
23.01.1993 19:00:00.000 GMT-0500,0.67240,0.67240,0.67240,0.67240,0
24.01.1993 19:00:00.000 GMT-0500,0.67230,0.67330,0.67020,0.67200,44678.6641
25.01.1993 19:00:00.000 GMT-0500,0.67150,0.67700,0.67150,0.67610,43728.0547
26.01.1993 19:00:00.000 GMT-0500,0.67570,0.67660,0.67230,0.67430,81752.4531
27.01.1993 19:00:00.000 GMT-0500,0.67360,0.68300,0.67270,0.68090,50382.3242
28.01.1993 19:00:00.000 GMT-0500,0.68050,0.68120,0.67760,0.67960,97912.8203
29.01.1993 19:00:00.000 GMT-0500,0.67960,0.67960,0.67960,0.67960,0
30.01.1993 19:00:00.000 GMT-0500,0.67960,0.67960,0.67960,0.67960,0
31.01.1993 19:00:00.000 GMT-0500,0.67840,0.67870,0.67060,0.67420,107418.9219
01.02.1993 19:00:00.000 GMT-0500,0.67440,0.68070,0.67280,0.67900,102665.8672
