Local time,Open,High,Low,Close,Volume
28.02.1973 19:00:00.000 GMT-0500,0.69860,0.70410,0.69330,0.69860,5082.0571
01.03.1973 19:00:00.000 GMT-0500,0.70890,0.71190,0.70600,0.70890,4446.7998
02.03.1973 19:00:00.000 GMT-0500,0.70890,0.70890,0.70890,0.70890,0
03.03.1973 19:00:00.000 GMT-0500,0.70890,0.70890,0.70890,0.70890,0
04.03.1973 19:00:00.000 GMT-0500,0.69600,0.69620,0.69560,0.69600,12069.8857
05.03.1973 19:00:00.000 GMT-0500,0.69600,0.69600,0.69600,0.69600,0
06.03.1973 19:00:00.000 GMT-0500,0.70070,0.70110,0.70030,0.70070,8893.5996
07.03.1973 19:00:00.000 GMT-0500,0.70230,0.70540,0.69920,0.70230,8999.4766
08.03.1973 19:00:00.000 GMT-0500,0.70340,0.70400,0.70270,0.70340,6987.8286
09.03.1973 19:00:00.000 GMT-0500,0.70340,0.70340,0.70340,0.70340,0
10.03.1973 19:00:00.000 GMT-0500,0.70340,0.70340,0.70340,0.70340,0
11.03.1973 19:00:00.000 GMT-0500,0.69980,0.70000,0.69960,0.69980,5717.3145
12.03.1973 19:00:00.000 GMT-0500,0.69500,0.69530,0.69470,0.69500,10269.9902
13.03.1973 19:00:00.000 GMT-0500,0.69460,0.69490,0.69430,0.69460,12705.1426
14.03.1973 19:00:00.000 GMT-0500,0.69800,0.69840,0.69760,0.69800,5399.6855
15.03.1973 19:00:00.000 GMT-0500,0.68990,0.69030,0.68940,0.68990,10799.3711
16.03.1973 19:00:00.000 GMT-0500,0.68990,0.68990,0.68990,0.68990,0
17.03.1973 19:00:00.000 GMT-0500,0.68990,0.68990,0.68990,0.68990,0
18.03.1973 19:00:00.000 GMT-0500,0.69240,0.69310,0.69170,0.69240,11434.6289
19.03.1973 19:00:00.000 GMT-0500,0.69210,0.69230,0.69190,0.69210,13340.4004
20.03.1973 19:00:00.000 GMT-0500,0.69210,0.69210,0.69210,0.69210,0
21.03.1973 19:00:00.000 GMT-0500,0.69210,0.69210,0.69210,0.69210,0
22.03.1973 19:00:00.000 GMT-0500,0.69220,0.69230,0.69210,0.69220,8681.8477
23.03.1973 19:00:00.000 GMT-0500,0.69220,0.69220,0.69220,0.69220,0
24.03.1973 19:00:00.000 GMT-0500,0.69220,0.69220,0.69220,0.69220,0
25.03.1973 19:00:00.000 GMT-0500,0.69340,0.69390,0.69290,0.69340,13763.9043
26.03.1973 19:00:00.000 GMT-0500,0.69240,0.69250,0.69230,0.69240,13022.7715
27.03.1973 19:00:00.000 GMT-0500,0.69160,0.69170,0.69150,0.69160,13446.2764
28.03.1973 19:00:00.000 GMT-0500,0.69070,0.69080,0.69050,0.69070,8681.8477
29.03.1973 19:00:00.000 GMT-0500,0.68820,0.68840,0.68800,0.68820,11752.2568
30.03.1973 19:00:00.000 GMT-0500,0.68820,0.68820,0.68820,0.68820,0
31.03.1973 19:00:00.000 GMT-0500,0.68820,0.68820,0.68820,0.68820,0
01.04.1973 19:00:00.000 GMT-0500,0.68470,0.68530,0.68410,0.68470,5717.3145
02.04.1973 19:00:00.000 GMT-0500,0.68420,0.68450,0.68390,0.68420,7940.7144
03.04.1973 19:00:00.000 GMT-0500,0.68420,0.68420,0.68420,0.68420,0
04.04.1973 19:00:00.000 GMT-0500,0.69060,0.69060,0.69050,0.69060,5611.438
05.04.1973 19:00:00.000 GMT-0500,0.68870,0.68880,0.68860,0.68870,3493.9143
06.04.1973 19:00:00.000 GMT-0500,0.68870,0.68870,0.68870,0.68870,0
