Local time,Open,High,Low,Close,Volume
08.02.1986 19:00:00.000 GMT-0500,1.39400,1.39400,1.39400,1.39400,0
09.02.1986 19:00:00.000 GMT-0500,1.39400,1.41250,1.38800,1.40600,27939.9785
10.02.1986 19:00:00.000 GMT-0500,1.40750,1.41400,1.40200,1.40900,22741.8438
11.02.1986 19:00:00.000 GMT-0500,1.40950,1.41900,1.40750,1.41050,81870.6328
12.02.1986 19:00:00.000 GMT-0500,1.41000,1.41950,1.40750,1.41700,57179.4922
13.02.1986 19:00:00.000 GMT-0500,1.41700,1.42200,1.41200,1.41900,25990.6777
14.02.1986 19:00:00.000 GMT-0500,1.41900,1.41900,1.41900,1.41900,0
15.02.1986 19:00:00.000 GMT-0500,1.41900,1.41900,1.41900,1.41900,0
16.02.1986 19:00:00.000 GMT-0500,1.42000,1.42200,1.41550,1.42100,33787.8828
17.02.1986 19:00:00.000 GMT-0500,1.42150,1.44850,1.40950,1.44550,66925.9922
18.02.1986 19:00:00.000 GMT-0500,1.44650,1.46750,1.44100,1.45350,48082.7539
19.02.1986 19:00:00.000 GMT-0500,1.45400,1.46250,1.44850,1.45500,32488.3477
20.02.1986 19:00:00.000 GMT-0500,1.45550,1.45550,1.43750,1.45400,75372.9688
21.02.1986 19:00:00.000 GMT-0500,1.45400,1.45400,1.45400,1.45400,0
22.02.1986 19:00:00.000 GMT-0500,1.45400,1.45400,1.45400,1.45400,0
23.02.1986 19:00:00.000 GMT-0500,1.45600,1.48300,1.45400,1.48000,28589.7461
24.02.1986 19:00:00.000 GMT-0500,1.48050,1.49600,1.47950,1.48350,51331.5898
25.02.1986 19:00:00.000 GMT-0500,1.48300,1.49300,1.47500,1.48400,48082.7539
26.02.1986 19:00:00.000 GMT-0500,1.48300,1.49350,1.46500,1.46850,58479.0273
27.02.1986 19:00:00.000 GMT-0500,1.46750,1.47100,1.43700,1.44200,61727.8594
28.02.1986 19:00:00.000 GMT-0500,1.44200,1.44200,1.44200,1.44200,0
01.03.1986 19:00:00.000 GMT-0500,1.44200,1.44200,1.44200,1.44200,0
02.03.1986 19:00:00.000 GMT-0500,1.43950,1.44950,1.43200,1.44200,51981.3555
03.03.1986 19:00:00.000 GMT-0500,1.44150,1.47100,1.44000,1.46300,45483.6875
04.03.1986 19:00:00.000 GMT-0500,1.46250,1.46950,1.44350,1.45100,53930.6563
05.03.1986 19:00:00.000 GMT-0500,1.45300,1.46300,1.43700,1.43850,33787.8828
06.03.1986 19:00:00.000 GMT-0500,1.43800,1.46450,1.43550,1.45250,22092.0762
07.03.1986 19:00:00.000 GMT-0500,1.45250,1.45250,1.45250,1.45250,0
08.03.1986 19:00:00.000 GMT-0500,1.45250,1.45250,1.45250,1.45250,0
09.03.1986 19:00:00.000 GMT-0500,1.45250,1.45550,1.43850,1.44850,38336.25
10.03.1986 19:00:00.000 GMT-0500,1.44800,1.46200,1.44450,1.46150,82520.4063
11.03.1986 19:00:00.000 GMT-0500,1.46150,1.48250,1.46100,1.46550,73423.6641
12.03.1986 19:00:00.000 GMT-0500,1.46500,1.47100,1.45250,1.45350,40285.5508
13.03.1986 19:00:00.000 GMT-0500,1.45350,1.46950,1.45350,1.46850,72773.8984
14.03.1986 19:00:00.000 GMT-0500,1.46850,1.46850,1.46850,1.46850,0
15.03.1986 19:00:00.000 GMT-0500,1.46850,1.46850,1.46850,1.46850,0
16.03.1986 19:00:00.000 GMT-0500,1.46000,1.47000,1.45400,1.46800,50032.0547
17.03.1986 19:00:00.000 GMT-0500,1.46700,1.48000,1.46250,1.47150,61078.0938
18.03.1986 19:00:00.000 GMT-0500,1.47050,1.49800,1.46800,1.49300,59128.793
19.03.1986 19:00:00.000 GMT-0500,1.49550,1.50600,1.48300,1.49850,57829.2578
20.03.1986 19:00:00.000 GMT-0500,1.49950,1.51900,1.49350,1.51500,79271.5703
21.03.1986 19:00:00.000 GMT-0500,1.51500,1.51500,1.51500,1.51500,0
22.03.1986 19:00:00.000 GMT-0500,1.51500,1.51500,1.51500,1.51500,0
23.03.1986 19:00:00.000 GMT-0500,1.50800,1.51600,1.47100,1.47150,48082.7539
24.03.1986 19:00:00.000 GMT-0500,1.47150,1.48200,1.45300,1.46350,33138.1133
25.03.1986 19:00:00.000 GMT-0500,1.46200,1.47750,1.46100,1.47300,71474.3672
26.03.1986 19:00:00.000 GMT-0500,1.47350,1.48700,1.47350,1.47700,61727.8594
27.03.1986 19:00:00.000 GMT-0500,1.47700,1.47800,1.47400,1.47450,39635.7852
28.03.1986 19:00:00.000 GMT-0500,1.47450,1.47450,1.47450,1.47450,0
29.03.1986 19:00:00.000 GMT-0500,1.47450,1.47450,1.47450,1.47450,0
30.03.1986 19:00:00.000 GMT-0500,1.47400,1.47600,1.46100,1.46750,53280.8906
31.03.1986 19:00:00.000 GMT-0500,1.46700,1.47600,1.46250,1.47350,77322.2656
01.04.1986 19:00:00.000 GMT-0500,1.47350,1.47900,1.45700,1.45900,46783.2188
02.04.1986 19:00:00.000 GMT-0500,1.45850,1.46950,1.45250,1.45900,40285.5508
03.04.1986 19:00:00.000 GMT-0500,1.45850,1.45900,1.44100,1.45100,66276.2266
04.04.1986 19:00:00.000 GMT-0500,1.45100,1.45100,1.45100,1.45100,0
05.04.1986 19:00:00.000 GMT-0500,1.45100,1.45100,1.45100,1.45100,0
06.04.1986 19:00:00.000 GMT-0500,1.45000,1.46950,1.44600,1.46700,44833.918
07.04.1986 19:00:00.000 GMT-0500,1.46650,1.47950,1.45800,1.46550,57829.2578
08.04.1986 19:00:00.000 GMT-0500,1.46600,1.47100,1.45650,1.46450,72773.8984
09.04.1986 19:00:00.000 GMT-0500,1.46400,1.48400,1.45800,1.48000,24041.377
10.04.1986 19:00:00.000 GMT-0500,1.48000,1.48250,1.47300,1.48000,45483.6875
11.04.1986 19:00:00.000 GMT-0500,1.48000,1.48000,1.48000,1.48000,0
12.04.1986 19:00:00.000 GMT-0500,1.48000,1.48000,1.48000,1.48000,0
13.04.1986 19:00:00.000 GMT-0500,1.47900,1.48400,1.47400,1.47800,65626.4609
14.04.1986 19:00:00.000 GMT-0500,1.47800,1.48300,1.47400,1.47950,40935.3164
15.04.1986 19:00:00.000 GMT-0500,1.47950,1.51200,1.47950,1.50600,39635.7852
