Local time,Open,High,Low,Close,Volume
06.07.1991 20:00:00.000 GMT-0400,0.56710,0.56710,0.56710,0.56710,0
07.07.1991 20:00:00.000 GMT-0400,0.56710,0.56970,0.56600,0.56970,45957.1797
08.07.1991 20:00:00.000 GMT-0400,0.56950,0.56950,0.56550,0.56570,59382.8711
09.07.1991 20:00:00.000 GMT-0400,0.56570,0.56600,0.56170,0.56240,28400.5039
10.07.1991 20:00:00.000 GMT-0400,0.56230,0.56350,0.56020,0.56020,39760.7031
11.07.1991 20:00:00.000 GMT-0400,0.56030,0.56350,0.55920,0.56220,50088.1602
12.07.1991 20:00:00.000 GMT-0400,0.56220,0.56220,0.56220,0.56220,0
13.07.1991 20:00:00.000 GMT-0400,0.56220,0.56220,0.56220,0.56220,0
14.07.1991 20:00:00.000 GMT-0400,0.56350,0.56440,0.56280,0.56370,52670.0234
15.07.1991 20:00:00.000 GMT-0400,0.56350,0.56640,0.56350,0.56630,55768.2617
16.07.1991 20:00:00.000 GMT-0400,0.56640,0.56730,0.56450,0.56510,68161.2109
17.07.1991 20:00:00.000 GMT-0400,0.56510,0.56540,0.56320,0.56400,32015.1133
18.07.1991 20:00:00.000 GMT-0400,0.56320,0.56820,0.56320,0.56790,17556.6758
19.07.1991 20:00:00.000 GMT-0400,0.56790,0.56790,0.56790,0.56790,0
20.07.1991 20:00:00.000 GMT-0400,0.56790,0.56790,0.56790,0.56790,0
21.07.1991 20:00:00.000 GMT-0400,0.56810,0.56810,0.56580,0.56610,23753.1484
22.07.1991 20:00:00.000 GMT-0400,0.56610,0.56650,0.56330,0.56540,24269.5215
23.07.1991 20:00:00.000 GMT-0400,0.56540,0.56760,0.56540,0.56720,52670.0234
24.07.1991 20:00:00.000 GMT-0400,0.56650,0.57050,0.56650,0.56780,52670.0234
25.07.1991 20:00:00.000 GMT-0400,0.56820,0.57250,0.56820,0.57200,27367.7578
26.07.1991 20:00:00.000 GMT-0400,0.57200,0.57200,0.57200,0.57200,0
27.07.1991 20:00:00.000 GMT-0400,0.57200,0.57200,0.57200,0.57200,0
28.07.1991 20:00:00.000 GMT-0400,0.57270,0.57280,0.57000,0.57240,32015.1133
29.07.1991 20:00:00.000 GMT-0400,0.57150,0.57250,0.57000,0.57210,67128.4609
30.07.1991 20:00:00.000 GMT-0400,0.57160,0.57210,0.57050,0.57190,18073.0469
31.07.1991 20:00:00.000 GMT-0400,0.57200,0.57260,0.57140,0.57150,31498.7402
01.08.1991 20:00:00.000 GMT-0400,0.57140,0.57350,0.57120,0.57350,62997.4805
02.08.1991 20:00:00.000 GMT-0400,0.57350,0.57350,0.57350,0.57350,0
03.08.1991 20:00:00.000 GMT-0400,0.57350,0.57350,0.57350,0.57350,0
04.08.1991 20:00:00.000 GMT-0400,0.57410,0.57690,0.57390,0.57670,41309.8242
05.08.1991 20:00:00.000 GMT-0400,0.57660,0.57720,0.57270,0.57480,27367.7578
06.08.1991 20:00:00.000 GMT-0400,0.57500,0.57520,0.57290,0.57510,45440.8047
07.08.1991 20:00:00.000 GMT-0400,0.57490,0.57580,0.57250,0.57250,45957.1797
08.08.1991 20:00:00.000 GMT-0400,0.57240,0.57260,0.57030,0.57060,28400.5039
09.08.1991 20:00:00.000 GMT-0400,0.57060,0.57060,0.57060,0.57060,0
10.08.1991 20:00:00.000 GMT-0400,0.57060,0.57060,0.57060,0.57060,0
11.08.1991 20:00:00.000 GMT-0400,0.57050,0.57510,0.57050,0.57450,67644.8359
12.08.1991 20:00:00.000 GMT-0400,0.57470,0.57470,0.57270,0.57270,33564.2305
13.08.1991 20:00:00.000 GMT-0400,0.57280,0.57410,0.57170,0.57280,51120.9063
14.08.1991 20:00:00.000 GMT-0400,0.57320,0.57370,0.57250,0.57330,44408.0586
15.08.1991 20:00:00.000 GMT-0400,0.57340,0.57380,0.57280,0.57360,44408.0586
16.08.1991 20:00:00.000 GMT-0400,0.57360,0.57360,0.57360,0.57360,0
17.08.1991 20:00:00.000 GMT-0400,0.57360,0.57360,0.57360,0.57360,0
18.08.1991 20:00:00.000 GMT-0400,0.57370,0.57430,0.56850,0.57410,27884.1309
19.08.1991 20:00:00.000 GMT-0400,0.57390,0.57590,0.57220,0.57550,50088.1602
20.08.1991 20:00:00.000 GMT-0400,0.57570,0.57700,0.57420,0.57540,42342.5703
21.08.1991 20:00:00.000 GMT-0400,0.57510,0.57630,0.57380,0.57580,21171.2852
22.08.1991 20:00:00.000 GMT-0400,0.57520,0.57560,0.57420,0.57470,28400.5039
23.08.1991 20:00:00.000 GMT-0400,0.57470,0.57470,0.57470,0.57470,0
24.08.1991 20:00:00.000 GMT-0400,0.57470,0.57470,0.57470,0.57470,0
25.08.1991 20:00:00.000 GMT-0400,0.57350,0.57430,0.57330,0.57340,33564.2305
26.08.1991 20:00:00.000 GMT-0400,0.57330,0.57400,0.57270,0.57400,56801.0078
27.08.1991 20:00:00.000 GMT-0400,0.57390,0.57570,0.57350,0.57550,20654.9121
28.08.1991 20:00:00.000 GMT-0400,0.57560,0.57570,0.57360,0.57370,35113.3516
29.08.1991 20:00:00.000 GMT-0400,0.57320,0.57480,0.57320,0.57360,44408.0586
30.08.1991 20:00:00.000 GMT-0400,0.57360,0.57360,0.57360,0.57360,0
31.08.1991 20:00:00.000 GMT-0400,0.57360,0.57360,0.57360,0.57360,0
01.09.1991 20:00:00.000 GMT-0400,0.57390,0.57430,0.57330,0.57330,43891.6875
02.09.1991 20:00:00.000 GMT-0400,0.57260,0.57330,0.57070,0.57310,64030.2266
03.09.1991 20:00:00.000 GMT-0400,0.57390,0.57570,0.57390,0.57570,43375.3125
04.09.1991 20:00:00.000 GMT-0400,0.57560,0.58030,0.57520,0.57930,32531.4863
05.09.1991 20:00:00.000 GMT-0400,0.57950,0.58270,0.57850,0.58250,30465.9941
06.09.1991 20:00:00.000 GMT-0400,0.58250,0.58250,0.58250,0.58250,0
07.09.1991 20:00:00.000 GMT-0400,0.58250,0.58250,0.58250,0.58250,0
08.09.1991 20:00:00.000 GMT-0400,0.58150,0.58330,0.58120,0.58240,61448.3633
09.09.1991 20:00:00.000 GMT-0400,0.58270,0.58330,0.58170,0.58190,36662.4688
10.09.1991 20:00:00.000 GMT-0400,0.58220,0.58440,0.58180,0.58440,33047.8594
11.09.1991 20:00:00.000 GMT-0400,0.58470,0.58620,0.58450,0.58460,52153.6523
12.09.1991 20:00:00.000 GMT-0400,0.58450,0.58710,0.58320,0.58550,56284.6328
13.09.1991 20:00:00.000 GMT-0400,0.58550,0.58550,0.58550,0.58550,0
14.09.1991 20:00:00.000 GMT-0400,0.58550,0.58550,0.58550,0.58550,0
15.09.1991 20:00:00.000 GMT-0400,0.58540,0.58850,0.58530,0.58700,24269.5215
16.09.1991 20:00:00.000 GMT-0400,0.58730,0.58950,0.58670,0.58820,20654.9121
17.09.1991 20:00:00.000 GMT-0400,0.58810,0.58830,0.58420,0.58550,63513.8516
18.09.1991 20:00:00.000 GMT-0400,0.58540,0.58670,0.58320,0.58450,38211.5859
19.09.1991 20:00:00.000 GMT-0400,0.58500,0.58750,0.58300,0.58400,30982.3672
20.09.1991 20:00:00.000 GMT-0400,0.58400,0.58400,0.58400,0.58400,0
21.09.1991 20:00:00.000 GMT-0400,0.58400,0.58400,0.58400,0.58400,0
22.09.1991 20:00:00.000 GMT-0400,0.58440,0.58730,0.58350,0.58620,38211.5859
23.09.1991 20:00:00.000 GMT-0400,0.58630,0.58700,0.58430,0.58430,22720.4023
24.09.1991 20:00:00.000 GMT-0400,0.57520,0.57650,0.57090,0.57130,36146.0938
25.09.1991 20:00:00.000 GMT-0400,0.57210,0.57500,0.56250,0.56500,19622.166
26.09.1991 20:00:00.000 GMT-0400,0.56510,0.57070,0.56420,0.57000,42342.5703
27.09.1991 20:00:00.000 GMT-0400,0.57000,0.57000,0.57000,0.57000,0
28.09.1991 20:00:00.000 GMT-0400,0.57000,0.57000,0.57000,0.57000,0
29.09.1991 20:00:00.000 GMT-0400,0.56920,0.57100,0.56690,0.56690,25302.2676
30.09.1991 20:00:00.000 GMT-0400,0.56680,0.56930,0.56650,0.56890,20654.9121
01.10.1991 20:00:00.000 GMT-0400,0.56860,0.57170,0.56860,0.57080,33564.2305
