Local time,Open,High,Low,Close,Volume
08.02.1986 19:00:00.000 GMT-0500,1.40650,1.40650,1.40650,1.40650,0
09.02.1986 19:00:00.000 GMT-0500,1.40650,1.40650,1.39580,1.39870,33411.9219
10.02.1986 19:00:00.000 GMT-0500,1.39920,1.40120,1.39100,1.39770,47797.6094
11.02.1986 19:00:00.000 GMT-0500,1.39750,1.40100,1.39600,1.40000,50117.8828
12.02.1986 19:00:00.000 GMT-0500,1.39980,1.40350,1.39750,1.39800,52438.1523
13.02.1986 19:00:00.000 GMT-0500,1.39810,1.40030,1.39250,1.39550,22274.6133
14.02.1986 19:00:00.000 GMT-0500,1.39550,1.39550,1.39550,1.39550,0
15.02.1986 19:00:00.000 GMT-0500,1.39550,1.39550,1.39550,1.39550,0
16.02.1986 19:00:00.000 GMT-0500,1.39520,1.39750,1.39450,1.39570,21810.5605
17.02.1986 19:00:00.000 GMT-0500,1.39610,1.39900,1.39420,1.39600,57078.6992
18.02.1986 19:00:00.000 GMT-0500,1.39600,1.39780,1.38900,1.39050,56150.5898
19.02.1986 19:00:00.000 GMT-0500,1.39130,1.39220,1.38750,1.39120,54758.4258
20.02.1986 19:00:00.000 GMT-0500,1.39100,1.39240,1.38750,1.38850,53830.3164
21.02.1986 19:00:00.000 GMT-0500,1.38850,1.38850,1.38850,1.38850,0
22.02.1986 19:00:00.000 GMT-0500,1.38850,1.38850,1.38850,1.38850,0
23.02.1986 19:00:00.000 GMT-0500,1.38700,1.38850,1.38200,1.38850,25058.9414
24.02.1986 19:00:00.000 GMT-0500,1.38870,1.39630,1.38650,1.39530,56150.5898
25.02.1986 19:00:00.000 GMT-0500,1.39540,1.39770,1.39230,1.39400,58470.8633
26.02.1986 19:00:00.000 GMT-0500,1.39200,1.41850,1.39000,1.41650,27379.2129
27.02.1986 19:00:00.000 GMT-0500,1.41550,1.44200,1.41550,1.42100,38980.5742
28.02.1986 19:00:00.000 GMT-0500,1.42100,1.42100,1.42100,1.42100,0
01.03.1986 19:00:00.000 GMT-0500,1.42100,1.42100,1.42100,1.42100,0
02.03.1986 19:00:00.000 GMT-0500,1.42150,1.43350,1.42150,1.43050,45941.3906
03.03.1986 19:00:00.000 GMT-0500,1.43350,1.43800,1.41000,1.41350,31555.7031
04.03.1986 19:00:00.000 GMT-0500,1.41500,1.42050,1.40850,1.41950,22274.6133
05.03.1986 19:00:00.000 GMT-0500,1.42000,1.42250,1.41100,1.41300,43621.1211
06.03.1986 19:00:00.000 GMT-0500,1.41350,1.41400,1.40300,1.40400,51510.0469
07.03.1986 19:00:00.000 GMT-0500,1.40400,1.40400,1.40400,1.40400,0
08.03.1986 19:00:00.000 GMT-0500,1.40400,1.40400,1.40400,1.40400,0
09.03.1986 19:00:00.000 GMT-0500,1.40400,1.40400,1.39520,1.39700,54294.3711
10.03.1986 19:00:00.000 GMT-0500,1.39650,1.40050,1.39600,1.39850,29699.4863
11.03.1986 19:00:00.000 GMT-0500,1.39850,1.40100,1.39350,1.40000,25987.0508
12.03.1986 19:00:00.000 GMT-0500,1.39950,1.40120,1.39370,1.39750,46869.5
13.03.1986 19:00:00.000 GMT-0500,1.39800,1.39800,1.38750,1.39050,58934.918
14.03.1986 19:00:00.000 GMT-0500,1.39050,1.39050,1.39050,1.39050,0
15.03.1986 19:00:00.000 GMT-0500,1.39050,1.39050,1.39050,1.39050,0
16.03.1986 19:00:00.000 GMT-0500,1.39100,1.39100,1.38500,1.38700,45941.3906
17.03.1986 19:00:00.000 GMT-0500,1.38650,1.39550,1.38650,1.38800,15313.7969
18.03.1986 19:00:00.000 GMT-0500,1.38850,1.39300,1.38750,1.39270,57078.6992
19.03.1986 19:00:00.000 GMT-0500,1.39270,1.40050,1.39100,1.40000,28771.377
20.03.1986 19:00:00.000 GMT-0500,1.40000,1.40250,1.39550,1.39600,38980.5742
21.03.1986 19:00:00.000 GMT-0500,1.39600,1.39600,1.39600,1.39600,0
22.03.1986 19:00:00.000 GMT-0500,1.39600,1.39600,1.39600,1.39600,0
23.03.1986 19:00:00.000 GMT-0500,1.39620,1.40500,1.39550,1.40450,37588.4102
24.03.1986 19:00:00.000 GMT-0500,1.40450,1.40600,1.40080,1.40280,40836.793
25.03.1986 19:00:00.000 GMT-0500,1.40300,1.40600,1.40110,1.40110,20418.3965
26.03.1986 19:00:00.000 GMT-0500,1.40120,1.40230,1.39500,1.39700,58470.8633
27.03.1986 19:00:00.000 GMT-0500,1.39650,1.39750,1.39500,1.39750,33411.9219
28.03.1986 19:00:00.000 GMT-0500,1.39750,1.39750,1.39750,1.39750,0
29.03.1986 19:00:00.000 GMT-0500,1.39750,1.39750,1.39750,1.39750,0
30.03.1986 19:00:00.000 GMT-0500,1.39700,1.40300,1.39570,1.39580,54758.4258
31.03.1986 19:00:00.000 GMT-0500,1.39550,1.39570,1.39050,1.39150,40372.7383
01.04.1986 19:00:00.000 GMT-0500,1.39250,1.39500,1.39000,1.39150,57542.7539
02.04.1986 19:00:00.000 GMT-0500,1.39120,1.39450,1.39050,1.39220,60327.0781
03.04.1986 19:00:00.000 GMT-0500,1.39250,1.39260,1.38470,1.38600,54294.3711
04.04.1986 19:00:00.000 GMT-0500,1.38600,1.38600,1.38600,1.38600,0
05.04.1986 19:00:00.000 GMT-0500,1.38600,1.38600,1.38600,1.38600,0
06.04.1986 19:00:00.000 GMT-0500,1.38700,1.38800,1.38200,1.38470,19490.2871
07.04.1986 19:00:00.000 GMT-0500,1.38450,1.38650,1.38200,1.38300,33875.9766
08.04.1986 19:00:00.000 GMT-0500,1.38320,1.38450,1.38050,1.38360,28307.3223
09.04.1986 19:00:00.000 GMT-0500,1.38400,1.38930,1.38350,1.38650,30627.5938
10.04.1986 19:00:00.000 GMT-0500,1.38650,1.39450,1.38420,1.39000,55686.5352
11.04.1986 19:00:00.000 GMT-0500,1.39000,1.39000,1.39000,1.39000,0
12.04.1986 19:00:00.000 GMT-0500,1.39000,1.39000,1.39000,1.39000,0
13.04.1986 19:00:00.000 GMT-0500,1.39050,1.40120,1.39030,1.39800,49653.8281
14.04.1986 19:00:00.000 GMT-0500,1.39800,1.39950,1.39070,1.39120,23666.7773
