Local time,Open,High,Low,Close,Volume
08.02.1986 19:00:00.000 GMT-0500,2.02900,2.02900,2.02900,2.02900,0
09.02.1986 19:00:00.000 GMT-0500,2.02900,2.02900,1.99450,1.99800,8854.1035
10.02.1986 19:00:00.000 GMT-0500,1.99700,2.00350,1.98200,1.98350,3845.7214
11.02.1986 19:00:00.000 GMT-0500,1.98500,1.98650,1.96300,1.96600,10642.8105
12.02.1986 19:00:00.000 GMT-0500,1.96550,1.97400,1.94000,1.94250,8943.5381
13.02.1986 19:00:00.000 GMT-0500,1.94150,1.96250,1.93000,1.94200,8943.5381
14.02.1986 19:00:00.000 GMT-0500,1.94200,1.94200,1.94200,1.94200,0
15.02.1986 19:00:00.000 GMT-0500,1.94200,1.94200,1.94200,1.94200,0
16.02.1986 19:00:00.000 GMT-0500,1.93800,1.94400,1.92400,1.92500,7512.5723
17.02.1986 19:00:00.000 GMT-0500,1.92550,1.95600,1.90600,1.91000,10553.375
18.02.1986 19:00:00.000 GMT-0500,1.91200,1.92800,1.88200,1.91500,4292.8984
19.02.1986 19:00:00.000 GMT-0500,1.91400,1.92300,1.89500,1.91100,5992.1709
20.02.1986 19:00:00.000 GMT-0500,1.91000,1.94500,1.91000,1.92250,9569.5859
21.02.1986 19:00:00.000 GMT-0500,1.92250,1.92250,1.92250,1.92250,0
22.02.1986 19:00:00.000 GMT-0500,1.92250,1.92250,1.92250,1.92250,0
23.02.1986 19:00:00.000 GMT-0500,1.92000,1.92750,1.89200,1.89300,9301.2803
24.02.1986 19:00:00.000 GMT-0500,1.89200,1.89500,1.87500,1.89200,7691.4429
25.02.1986 19:00:00.000 GMT-0500,1.89000,1.90600,1.87800,1.88150,8049.1846
26.02.1986 19:00:00.000 GMT-0500,1.88100,1.89500,1.85700,1.87750,5813.2998
27.02.1986 19:00:00.000 GMT-0500,1.80600,1.89200,1.80600,1.88300,7602.0078
28.02.1986 19:00:00.000 GMT-0500,1.88300,1.88300,1.88300,1.88300,0
01.03.1986 19:00:00.000 GMT-0500,1.88300,1.88300,1.88300,1.88300,0
02.03.1986 19:00:00.000 GMT-0500,1.88650,1.89100,1.87400,1.87750,10821.6816
03.03.1986 19:00:00.000 GMT-0500,1.87850,1.88500,1.86400,1.88300,10106.1982
04.03.1986 19:00:00.000 GMT-0500,1.88250,1.92400,1.87700,1.91500,3219.6738
05.03.1986 19:00:00.000 GMT-0500,1.91300,1.91900,1.89100,1.89900,11626.5996
06.03.1986 19:00:00.000 GMT-0500,1.89900,1.90100,1.88500,1.89600,3487.98
07.03.1986 19:00:00.000 GMT-0500,1.89600,1.89600,1.89600,1.89600,0
08.03.1986 19:00:00.000 GMT-0500,1.89600,1.89600,1.89600,1.89600,0
09.03.1986 19:00:00.000 GMT-0500,1.89500,1.94300,1.89100,1.93300,11179.4229
10.03.1986 19:00:00.000 GMT-0500,1.93300,1.93400,1.91300,1.91950,5008.3813
11.03.1986 19:00:00.000 GMT-0500,1.92000,1.93800,1.91300,1.93550,7244.2661
12.03.1986 19:00:00.000 GMT-0500,1.93600,1.94100,1.92550,1.92900,9569.5859
13.03.1986 19:00:00.000 GMT-0500,1.92800,1.92800,1.89500,1.90550,8317.4912
14.03.1986 19:00:00.000 GMT-0500,1.90550,1.90550,1.90550,1.90550,0
15.03.1986 19:00:00.000 GMT-0500,1.90550,1.90550,1.90550,1.90550,0
16.03.1986 19:00:00.000 GMT-0500,1.90000,1.90000,1.87550,1.87700,4471.769
17.03.1986 19:00:00.000 GMT-0500,1.87900,1.89100,1.87600,1.89000,11358.2939
18.03.1986 19:00:00.000 GMT-0500,1.89300,1.90600,1.89200,1.89500,10374.5049
19.03.1986 19:00:00.000 GMT-0500,1.89450,1.89700,1.88500,1.89100,5008.3813
20.03.1986 19:00:00.000 GMT-0500,1.89200,1.89650,1.87200,1.88000,6528.7832
21.03.1986 19:00:00.000 GMT-0500,1.88000,1.88000,1.88000,1.88000,0
