Local time,Open,High,Low,Close,Volume
08.02.1986 19:00:00.000 GMT-0500,190.650,190.650,190.650,190.650,0
09.02.1986 19:00:00.000 GMT-0500,190.650,190.700,187.300,187.600,2146.1323
10.02.1986 19:00:00.000 GMT-0500,187.500,188.400,187.200,187.500,3515.2166
11.02.1986 19:00:00.000 GMT-0500,187.600,187.800,185.800,186.400,3256.2007
12.02.1986 19:00:00.000 GMT-0500,186.450,186.650,181.900,182.100,2072.1277
13.02.1986 19:00:00.000 GMT-0500,182.150,182.950,179.900,181.300,1295.0798
14.02.1986 19:00:00.000 GMT-0500,181.300,181.300,181.300,181.300,0
15.02.1986 19:00:00.000 GMT-0500,181.300,181.300,181.300,181.300,0
16.02.1986 19:00:00.000 GMT-0500,181.300,181.400,179.750,180.100,1406.0867
17.02.1986 19:00:00.000 GMT-0500,180.200,182.600,179.000,179.200,2072.1277
18.02.1986 19:00:00.000 GMT-0500,179.300,182.200,177.450,180.900,3737.2302
19.02.1986 19:00:00.000 GMT-0500,181.050,181.500,178.700,180.100,2109.1299
20.02.1986 19:00:00.000 GMT-0500,180.100,184.500,180.000,182.250,2553.1572
21.02.1986 19:00:00.000 GMT-0500,182.250,182.250,182.250,182.250,0
22.02.1986 19:00:00.000 GMT-0500,182.250,182.250,182.250,182.250,0
23.02.1986 19:00:00.000 GMT-0500,182.100,183.200,181.300,181.600,1517.0935
24.02.1986 19:00:00.000 GMT-0500,181.700,181.850,180.550,181.600,3034.187
25.02.1986 19:00:00.000 GMT-0500,181.750,182.400,181.100,181.400,3589.2212
26.02.1986 19:00:00.000 GMT-0500,181.400,182.000,178.000,180.500,1517.0935
27.02.1986 19:00:00.000 GMT-0500,180.600,180.800,179.350,180.200,4144.2554
28.02.1986 19:00:00.000 GMT-0500,180.200,180.200,180.200,180.200,0
01.03.1986 19:00:00.000 GMT-0500,180.200,180.200,180.200,180.200,0
02.03.1986 19:00:00.000 GMT-0500,180.100,180.850,179.100,179.250,2479.1528
03.03.1986 19:00:00.000 GMT-0500,179.150,179.650,178.700,179.500,2590.1597
04.03.1986 19:00:00.000 GMT-0500,179.500,181.850,179.050,181.200,4884.3008
05.03.1986 19:00:00.000 GMT-0500,181.100,181.500,179.200,179.700,2479.1528
06.03.1986 19:00:00.000 GMT-0500,179.750,180.000,179.100,179.300,2812.1733
07.03.1986 19:00:00.000 GMT-0500,179.300,179.300,179.300,179.300,0
08.03.1986 19:00:00.000 GMT-0500,179.300,179.300,179.300,179.300,0
